Motif_ID,Real_Score_Sum,Shuffled_Mean_Score,P_Value,Adj_P_Value
MA0562.1,5055.8547,2134.5609239999994,0.009900990099009901,0.016203703703703703
MA0563.2,13777.2601,5087.082289,0.009900990099009901,0.016203703703703703
MA0565.3,3411.0168,2709.970323000001,0.009900990099009901,0.016203703703703703
MA0566.1,3753.3468,1581.3486299999995,0.009900990099009901,0.016203703703703703
MA0567.1,1994.9138,867.9587160000003,0.009900990099009901,0.016203703703703703
MA0569.2,5139.2945,1863.0155400000006,0.009900990099009901,0.016203703703703703
MA0570.3,6950.16084,1940.880331,0.009900990099009901,0.016203703703703703
MA0571.2,1478.06738,1650.3036298000004,0.9207920792079208,1.0
MA0573.2,1333.6964,1524.5042867,0.9603960396039604,1.0
MA0574.1,1561.82924,1140.1701511,0.009900990099009901,0.016203703703703703
MA0575.2,1770.6564,2521.057928999999,1.0,1.0
MA0576.2,1177.78031,759.4018676,0.009900990099009901,0.016203703703703703
MA0577.4,1357.8375,2065.139258,1.0,1.0
MA0578.1,6984.0565,10475.506654000006,1.0,1.0
MA0579.2,673.1826,1140.7789979999998,1.0,1.0
MA0580.1,3491.46838,2268.5356669,0.009900990099009901,0.016203703703703703
MA0584.2,7904.214,6125.585114999999,0.009900990099009901,0.016203703703703703
MA0585.2,4710.2808,4243.352434,0.06930693069306931,0.10492505353319058
MA0586.3,873.5609999999999,1337.085906,1.0,1.0
MA0587.2,1577.63412,977.9532988999998,0.009900990099009901,0.016203703703703703
MA0588.2,2351.2352,1795.6735150000002,0.009900990099009901,0.016203703703703703
MA0589.2,2841.85434,2107.6568813999993,0.009900990099009901,0.016203703703703703
MA0590.1,2158.8447,2019.8600045999992,0.27722772277227725,0.4024640657084189
MA0930.3,5185.8142,1802.8740860000005,0.009900990099009901,0.016203703703703703
MA0931.2,6841.6766,1919.4096259999997,0.009900990099009901,0.016203703703703703
MA0932.1,22721.316,19997.58048,0.009900990099009901,0.016203703703703703
MA0933.1,25222.7304,21835.840776,0.009900990099009901,0.016203703703703703
MA0934.1,21192.693,21561.254698,0.7029702970297029,0.9521072796934866
MA0935.1,2374.7028999999998,4248.113592000001,1.0,1.0
MA0936.1,1451.01572,2053.7095388,1.0,1.0
MA0937.1,3170.4708,4002.936559000001,1.0,1.0
MA0938.3,8048.40276,5133.797041100001,0.009900990099009901,0.016203703703703703
MA0939.1,1614.3269,2716.248745,1.0,1.0
MA0940.1,39064.2996,12696.901811999998,0.009900990099009901,0.016203703703703703
MA0941.2,6722.8886,1831.2609899999993,0.009900990099009901,0.016203703703703703
MA0942.2,2358.5216,2058.0844230000002,0.0594059405940594,0.0903225806451613
MA0943.2,2181.2563999999998,1899.199323,0.04950495049504951,0.07575757575757576
MA0946.1,4078.2948,4816.325938,1.0,1.0
MA0947.1,1707.5509,2137.9971689999998,1.0,1.0
MA0948.2,1376.2855000000002,2332.7440840000004,1.0,1.0
MA0949.2,4955.8036999999995,5172.1349759999985,0.801980198019802,1.0
MA0950.1,5625.1632,5457.4767520000005,0.297029702970297,0.4285714285714286
MA0951.1,12417.6435,15440.478825000006,1.0,1.0
MA0952.1,9976.5664,10627.065027,0.9504950495049505,1.0
MA0953.2,4389.43417,3908.0563118000014,0.009900990099009901,0.016203703703703703
MA0954.3,8995.27068,8548.166966799998,0.09900990099009901,0.14861995753715498
MA0957.1,3953.2136,1551.7138859999998,0.009900990099009901,0.016203703703703703
MA0958.1,4574.1431999999995,1594.8716029999998,0.009900990099009901,0.016203703703703703
MA0959.1,2152.3914,1505.731968,0.009900990099009901,0.016203703703703703
MA0960.1,3361.63958,978.7228594000001,0.009900990099009901,0.016203703703703703
MA0961.2,2964.5339999999997,1378.5779,0.009900990099009901,0.016203703703703703
MA0962.2,2330.8207,1048.489751,0.009900990099009901,0.016203703703703703
MA0963.1,572.34264,344.13876020000004,0.0297029702970297,0.046255506607929514
MA0964.3,3842.1628,2064.793042,0.009900990099009901,0.016203703703703703
MA0967.1,3326.7852,2327.629938,0.009900990099009901,0.016203703703703703
MA0968.3,6758.59297,1952.3550607,0.009900990099009901,0.016203703703703703
MA0971.2,1627.5419,1400.6855359999995,0.06930693069306931,0.10492505353319058
MA0972.1,8601.9893,10221.362282000004,1.0,1.0
MA0973.2,13992.1804,9335.306799999998,0.009900990099009901,0.016203703703703703
MA0974.3,7107.305899999999,5928.878321999999,0.009900990099009901,0.016203703703703703
MA0975.1,1856.247,731.9046310000003,0.009900990099009901,0.016203703703703703
