motif_id,Odds_Ratio,P_Value,Foreground_Count,Background_Count,Adj_P_Value,motif_alt_id
MA1005.3,0.8389875368786902,0.05820157019060658,222,247,0.46825808744260744,ERF082
MA1006.2,0.8306084712387449,0.1555995058290712,113,127,0.6762491810941367,ERF6
MA1007.1,1.1639327716479293,0.17302949343783136,187,150,0.6968486317680407,PHYPADRAFT_173530
MA1008.2,1.1670300750899174,0.22318974666590735,150,120,0.7560686154998201,PHYPADRAFT_182268
MA1009.1,0.9503205349220388,0.6628667336753413,170,167,0.9548974835667107,ARF3
MA1010.2,1.1139833077887895,0.3083253659549259,210,176,0.8432604508379036,PHYPADRAFT_64121
MA1012.1,1.014322467727278,0.7188875618279044,1458,1342,0.9640150301504968,AGL27
MA1013.1,0.8999201552950324,0.23034743360085264,268,278,0.768422944847743,GATA10
MA1014.1,0.996469259959493,0.966961519088334,301,282,1.0,GATA11
MA1019.2,0.9777542852256833,0.8717983247217105,177,169,1.0,Glyma19g26560.1
MA1020.1,0.9565490132598399,0.5558392212275052,374,365,0.9330331158728792,GT-1
MA1021.2,1.0804473976135192,0.6136544117925675,103,89,0.9548732385695337,PHYPADRAFT_48267
MA1023.1,1.076647671505424,0.5815973341267345,143,124,0.9367004837264522,PHYPADRAFT_28324
MA1024.2,1.0585162909588346,0.36731395150698537,551,486,0.8727123486522969,HAT1
MA1025.2,1.0595347078736683,0.479450919542061,345,304,0.9053561594897231,HBI1
MA1026.3,0.9774146807126949,0.5909302866442221,1202,1148,0.9465580157106545,ATHB-15
MA1028.1,0.7483450126954542,0.003282142240873264,186,232,0.07261739707932097,KAN4
MA1030.2,0.9733770602471687,0.7176653793749875,391,375,0.9640150301504968,P0510F09.23
MA1032.2,0.9565143147189371,0.7503803748132842,125,122,0.981220253557993,DREB1G
MA1033.1,1.028102734242982,0.6635827790267403,544,494,0.9548974835667107,OJ1058_F05.8
MA1034.1,0.8620902444646383,0.16584525774019976,169,183,0.6952120924932368,Os05g0497200
MA1035.1,0.9165625292690069,0.4388684248779232,162,165,0.9053561594897231,TCP4
MA1036.1,1.003323040464795,1.0,187,174,1.0,MYB111
