Motif_ID,Real_Score_Sum,Shuffled_Mean_Score,P_Value,Adj_P_Value
MA0562.1,2399.4561,1192.2935629999997,0.009900990099009901,0.01832460732984293
MA0563.2,7228.9654,2673.6977779999997,0.009900990099009901,0.01832460732984293
MA0565.3,1911.8199,1462.1983709999997,0.009900990099009901,0.01832460732984293
MA0566.1,2002.0467999999998,881.202304,0.009900990099009901,0.01832460732984293
MA0567.1,959.9751,515.5904749999999,0.009900990099009901,0.01832460732984293
MA0569.2,2454.0323,1046.3193239999998,0.009900990099009901,0.01832460732984293
MA0570.3,2935.65174,1085.4119756000002,0.009900990099009901,0.01832460732984293
MA0571.2,899.34836,896.8617071999996,0.45544554455445546,0.6750524109014675
MA0573.2,691.78642,811.7920267000002,0.9306930693069307,1.0
MA0574.1,726.37772,629.8448725000001,0.15841584158415842,0.255125284738041
MA0575.2,1054.0843,1355.1685939999993,0.9900990099009901,1.0
MA0576.2,594.73172,421.7991095000002,0.009900990099009901,0.01832460732984293
MA0577.4,815.8169,1168.851925,1.0,1.0
MA0578.1,3556.8761,5201.814418,1.0,1.0
MA0579.2,363.3412,662.5449369999999,1.0,1.0
MA0580.1,1888.10979,1226.1673344000005,0.009900990099009901,0.01832460732984293
MA0584.2,3907.281,3144.9439669999997,0.009900990099009901,0.01832460732984293
MA0585.2,2392.8176,2219.488259,0.15841584158415842,0.255125284738041
MA0586.3,551.0154,759.99807,0.9900990099009901,1.0
MA0587.2,1071.65838,565.0042254999998,0.009900990099009901,0.01832460732984293
MA0588.2,1177.1905,999.5919069999999,0.0891089108910891,0.14928909952606637
MA0589.2,1110.96629,1153.4226544000003,0.6336633663366337,0.9068825910931174
MA0590.1,1143.8027,1094.150442,0.3564356435643564,0.5407725321888411
MA0930.3,2164.6282,1016.8572120000001,0.009900990099009901,0.01832460732984293
MA0931.2,2931.3392,1074.1110590000003,0.009900990099009901,0.01832460732984293
MA0932.1,10400.454,9548.86305,0.04950495049504951,0.08515815085158152
MA0933.1,12200.9976,10437.016038000002,0.009900990099009901,0.01832460732984293
MA0934.1,9960.4164,10244.973734,0.7227722772277227,1.0
MA0935.1,1308.0643,2217.299793000001,1.0,1.0
MA0936.1,836.08424,1136.6539289999998,1.0,1.0
MA0937.1,1374.9996,2106.6963490000003,1.0,1.0
MA0938.3,3678.14518,2662.8186889,0.009900990099009901,0.01832460732984293
MA0939.1,872.7642,1504.7704119999992,1.0,1.0
MA0940.1,19315.7239,6299.888318,0.009900990099009901,0.01832460732984293
MA0941.2,2951.3483,1020.102614,0.009900990099009901,0.01832460732984293
MA0942.2,1189.4519,1151.8449090000001,0.3564356435643564,0.5407725321888411
MA0943.2,1105.2125,1065.7918229999998,0.36633663366336633,0.5498938428874734
MA0946.1,2097.6428,2542.1442819999993,0.9801980198019802,1.0
MA0947.1,819.7865,1181.2813499999995,1.0,1.0
MA0948.2,741.9974000000001,1264.746536,1.0,1.0
MA0949.2,2848.8361999999997,2632.4048309999994,0.07920792079207921,0.1339712918660287
MA0950.1,2582.7472000000002,2774.6641089999994,0.801980198019802,1.0
MA0951.1,6148.9088,7585.928805999998,1.0,1.0
MA0952.1,4768.7684,5311.940583999997,0.9702970297029703,1.0
MA0953.2,2141.1874000000003,2007.5578409000007,0.21782178217821782,0.34375
MA0954.3,4099.1812899999995,4313.7051422,0.7722772277227723,1.0
MA0957.1,2170.6316,880.5143800000004,0.009900990099009901,0.01832460732984293
MA0958.1,2180.1559,891.9157320000003,0.009900990099009901,0.01832460732984293
MA0959.1,1050.8727999999999,843.8704799999999,0.0891089108910891,0.14928909952606637
MA0960.1,1675.04886,582.8529935999999,0.009900990099009901,0.01832460732984293
MA0961.2,1350.0459999999998,770.3613,0.009900990099009901,0.01832460732984293
MA0962.2,1316.9838,603.388155,0.009900990099009901,0.01832460732984293
MA0963.1,235.31411999999997,209.69423099999997,0.3564356435643564,0.5407725321888411
MA0964.3,2393.5418,1155.6509400000002,0.009900990099009901,0.01832460732984293
MA0967.1,1356.3168,1236.7567319999994,0.2079207920792079,0.32959641255605376
MA0968.3,2707.68295,1084.5180497000001,0.009900990099009901,0.01832460732984293
MA0971.2,787.4757,806.3184909999999,0.594059405940594,0.855397148676171
MA0972.1,4005.0359,5103.742803,1.0,1.0
MA0973.2,7028.4295999999995,4679.511179999999,0.009900990099009901,0.01832460732984293
MA0974.3,3795.9968,3012.1892979999993,0.009900990099009901,0.01832460732984293
MA0975.1,1041.2793,438.0382790000001,0.009900990099009901,0.01832460732984293
