motif_id,Real_Score_Sum,Shuffled_Mean_Score,P_Value,Adjusted_P,Score_Difference,Significant
MA1079.3,9105.15936,5159.087339100001,0.0099009900990099,0.0162037037037037,3946.0720208999983,True
MA1678.3,8425.0687,4479.9850350000015,0.0099009900990099,0.0162037037037037,3945.0836649999983,True
MA1333.2,5462.80328,1539.377205,0.0099009900990099,0.0162037037037037,3923.4260750000003,True
MA1204.1,13789.5436,10010.292279699996,0.0099009900990099,0.0162037037037037,3779.2513203000053,True
MA1688.2,7639.295,3878.735186000001,0.0099009900990099,0.0162037037037037,3760.5598139999993,True
MA1672.2,5499.2759,1747.6346820000006,0.0099009900990099,0.0162037037037037,3751.641217999999,True
MA1306.2,8480.01501,4742.262697000002,0.0099009900990099,0.0162037037037037,3737.7523129999972,True
MA1297.2,7977.4391,4266.5345117000015,0.0099009900990099,0.0162037037037037,3710.904588299998,True
MA1298.2,9241.586,5552.172490000003,0.0099009900990099,0.0162037037037037,3689.4135099999967,True
MA1301.2,8708.465,5032.152625999999,0.0099009900990099,0.0162037037037037,3676.312374000001,True
MA1315.2,8090.47022,4449.390957300002,0.0099009900990099,0.0162037037037037,3641.0792626999983,True
MA1318.2,8089.65247,4471.2759937,0.0099009900990099,0.0162037037037037,3618.3764763,True
MA1239.2,4271.16652,712.6500272999999,0.0099009900990099,0.0162037037037037,3558.5164926999996,True
MA1317.2,9891.09164,6375.892303099998,0.0099009900990099,0.0162037037037037,3515.199336900003,True
MA2042.2,5916.724,2423.9018760000004,0.0099009900990099,0.0162037037037037,3492.822124,True
MA2014.2,5230.6065,1744.67784,0.0099009900990099,0.0162037037037037,3485.9286599999996,True
MA1242.1,4397.18156,953.5005026999996,0.0099009900990099,0.0162037037037037,3443.6810573000002,True
MA2076.1,4641.8246,1199.35313,0.0099009900990099,0.0162037037037037,3442.47147,True
MA0933.1,25222.7304,21835.840776,0.0099009900990099,0.0162037037037037,3386.8896239999995,True
MA0930.3,5185.8142,1802.8740860000005,0.0099009900990099,0.0162037037037037,3382.940113999999,True
MA2071.1,5033.9472,1663.2899409999995,0.0099009900990099,0.0162037037037037,3370.657259,True
MA1207.2,8045.1854,4731.776924999997,0.0099009900990099,0.0162037037037037,3313.408475000003,True
MA1303.2,8111.15784,4816.9095386,0.0099009900990099,0.0162037037037037,3294.2483014,True
MA1659.2,4665.0169,1373.540974,0.0099009900990099,0.0162037037037037,3291.4759259999996,True
MA0569.2,5139.2945,1863.0155400000008,0.0099009900990099,0.0162037037037037,3276.278959999999,True
MA2389.1,4891.4839,1656.237887,0.0099009900990099,0.0162037037037037,3235.246013,True
MA2077.1,5075.8062,1849.830758,0.0099009900990099,0.0162037037037037,3225.975442,True
MA2384.1,4546.1722,1330.83955,0.0099009900990099,0.0162037037037037,3215.3326500000003,True
MA2041.2,5750.7004,2538.2360829999984,0.0099009900990099,0.0162037037037037,3212.4643170000013,True
MA2032.2,7130.1742,3928.3526600000014,0.0099009900990099,0.0162037037037037,3201.821539999999,True
MA1221.1,3951.83328,757.5759576999999,0.0099009900990099,0.0162037037037037,3194.2573223,True
MA1302.2,7185.88156,4038.3657003000026,0.0099009900990099,0.0162037037037037,3147.5158596999972,True
MA2375.1,4660.72103,1521.7159617999998,0.0099009900990099,0.0162037037037037,3139.0050682,True
MA1340.2,4874.95442,1737.4353655999987,0.0099009900990099,0.0162037037037037,3137.5190544000016,True
MA1262.2,3931.03163,796.4952067000004,0.0099009900990099,0.0162037037037037,3134.5364232999996,True
MA1203.1,8985.75813,5858.4903379,0.0099009900990099,0.0162037037037037,3127.2677921000004,True
MA2060.1,4751.0516,1638.2833269999996,0.0099009900990099,0.0162037037037037,3112.768273,True
MA1314.2,7173.78803,4086.104079700001,0.0099009900990099,0.0162037037037037,3087.6839502999987,True
MA1264.2,3795.18205,721.7661264000001,0.0099009900990099,0.0162037037037037,3073.4159235999996,True
MA2006.2,7340.85213,4267.7444302,0.0099009900990099,0.0162037037037037,3073.1076998,True
MA2022.2,3661.74691,600.6413099,0.0099009900990099,0.0162037037037037,3061.1056000999997,True
MA1743.2,4740.03273,1686.9178544000004,0.0099009900990099,0.0162037037037037,3053.1148755999993,True
MA2086.1,4812.8166,1770.042537,0.0099009900990099,0.0162037037037037,3042.774063,True
MA2057.1,4771.3983,1731.927282,0.0099009900990099,0.0162037037037037,3039.4710179999997,True
MA1196.2,13275.3639,10244.598135999991,0.0099009900990099,0.0162037037037037,3030.765764000009,True
MA1779.2,5402.7931,2372.0624119999998,0.0099009900990099,0.0162037037037037,3030.730688,True
MA0958.1,4574.1432,1594.8716029999998,0.0099009900990099,0.0162037037037037,2979.271597000001,True
MA2064.1,4341.7652,1377.2826610000002,0.0099009900990099,0.0162037037037037,2964.4825389999996,True
MA1061.2,4259.6539,1297.4101010000004,0.0099009900990099,0.0162037037037037,2962.243799,True
MA1794.2,7048.643599999999,4102.361072000002,0.0099009900990099,0.0162037037037037,2946.282527999997,True
MA1296.2,6310.46122,3369.5055998000003,0.0099009900990099,0.0162037037037037,2940.9556202,True
MA2398.1,3619.0001,685.1518299999999,0.0099009900990099,0.0162037037037037,2933.8482700000004,True
MA0562.1,5055.8547,2134.5609239999994,0.0099009900990099,0.0162037037037037,2921.2937760000004,True
MA0938.3,8048.40276,5133.797041100001,0.0099009900990099,0.0162037037037037,2914.6057188999994,True
MA2020.2,7052.3051,4190.851628,0.0099009900990099,0.0162037037037037,2861.4534719999992,True
